Program Counter,Panda Current ASID,System Number,Syscall Reutrn Type,Syste Call Name
3078468284,925138944,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078468977,925138944,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078468395,925138944,6,long,sys_close(unsigned int fd);
3078468655,925138944,33,long,"sys_access(const char __user *filename, int mode);"
3078468338,925138944,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078468466,925138944,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078468284,925138944,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078468977,925138944,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078469106,925138944,125,long,"sys_mprotect(unsigned long start, size_t len,unsigned long prot);"
3078468977,925138944,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078468977,925138944,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078468395,925138944,6,long,sys_close(unsigned int fd);
3078468977,925138944,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078384829,925138944,243,int,set_thread_area(struct user_desc *u_info);
3078469106,925138944,125,long,"sys_mprotect(unsigned long start, size_t len,unsigned long prot);"
3078469106,925138944,125,long,"sys_mprotect(unsigned long start, size_t len,unsigned long prot);"
3078469039,925138944,91,long,"sys_munmap(unsigned long addr, size_t len);"
3078374425,925138944,20,long,sys_getpid(void);
3078374425,925138944,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078374425,925138944,201,long,sys_geteuid(void);
3078374425,925138944,45,long,sys_brk(unsigned long brk);
3078374425,925138944,45,long,sys_brk(unsigned long brk);
3078374425,925138944,64,long,sys_getppid(void);
3078374425,925138944,195,long,"sys_stat64(const char __user *filename,struct stat64 __user *statbuf);"
3078374425,925138944,195,long,"sys_stat64(const char __user *filename,struct stat64 __user *statbuf);"
3078374425,925138944,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078374425,925138944,221,long,"sys_fcntl64(unsigned int fd,unsigned int cmd, unsigned long arg);"
3078374425,925138944,6,long,sys_close(unsigned int fd);
3078374425,925138944,221,long,"sys_fcntl64(unsigned int fd,unsigned int cmd, unsigned long arg);"
3078374425,925138944,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078374425,925138944,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078374425,925138944,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078374425,925138944,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078374425,925138944,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078374425,925138944,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078374425,925138944,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078374425,925138944,195,long,"sys_stat64(const char __user *filename,struct stat64 __user *statbuf);"
3078374425,925138944,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078374425,925138944,221,long,"sys_fcntl64(unsigned int fd,unsigned int cmd, unsigned long arg);"
3078374425,925138944,6,long,sys_close(unsigned int fd);
3078374425,925138944,221,long,"sys_fcntl64(unsigned int fd,unsigned int cmd, unsigned long arg);"
3078374425,925138944,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078374425,925138944,42,long,sys_pipe(int __user *fildes);
3078374425,925138944,120,long,"sys_clone(unsigned long flags, void *child_stack, void *ptid, void *ctid, struct pt_regs *regs);"
3078374425,925138944,6,long,sys_close(unsigned int fd);
3078374425,925138944,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078337067,924184576,45,long,sys_brk(unsigned long brk);
3078038059,925659136,45,long,sys_brk(unsigned long brk);
3078341679,924184576,33,long,"sys_access(const char __user *filename, int mode);"
3078342001,924184576,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078042671,925659136,33,long,"sys_access(const char __user *filename, int mode);"
3078341679,924184576,33,long,"sys_access(const char __user *filename, int mode);"
3078341362,924184576,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078341308,924184576,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078342001,924184576,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078341419,924184576,6,long,sys_close(unsigned int fd);
3078341679,924184576,33,long,"sys_access(const char __user *filename, int mode);"
3078341362,924184576,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078341490,924184576,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078341308,924184576,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078042993,925659136,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078042671,925659136,33,long,"sys_access(const char __user *filename, int mode);"
3078042354,925659136,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078042300,925659136,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078042993,925659136,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078042411,925659136,6,long,sys_close(unsigned int fd);
3078042671,925659136,33,long,"sys_access(const char __user *filename, int mode);"
3078042354,925659136,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078042482,925659136,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078342001,924184576,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078342001,924184576,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078341419,924184576,6,long,sys_close(unsigned int fd);
3078341679,924184576,33,long,"sys_access(const char __user *filename, int mode);"
3078341362,924184576,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078341490,924184576,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078341308,924184576,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078342001,924184576,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
